ImageNumber,ObjectNumber,Location_CenterMassIntensity_X_channels_split_Filtered,Location_CenterMassIntensity_Y_channels_split_Filtered,Location_Center_X,Location_Center_Y,Number_Object_Number,RadialDistribution_ZernikeMagnitude_channels_split_Filtered_0_0,RadialDistribution_ZernikeMagnitude_channels_split_Filtered_1_1,RadialDistribution_ZernikePhase_channels_split_Filtered_0_0,RadialDistribution_ZernikePhase_channels_split_Filtered_1_1
1,3266,551.25882352941176,467.25882352941176,550.57627118644064,465.33050847457628,3266,2.1983336625715434e-05,7.5083196830371544e-06,1.5707963267948966,0.55095705532367933
1,3267,673.0625,466.57291666666669,671.96629213483141,466.15730337078651,3267,3.2403990312406184e-05,3.5938672986020776e-06,1.5707963267948966,0.74127098316763096
1,3268,110.0,464.71428571428572,109.97590361445783,464.7831325301205,3268,1.2869054608675371e-06,1.796648268896959e-07,1.5707963267948966,-1.0040671092713902
1,3269,322.47706422018348,463.33944954128441,322.530303030303,464.28787878787881,3269,2.5200505853828155e-05,6.269217055198014e-07,1.5707963267948966,-1.7126933813990597
1,3270,525.24000000000001,475.41333333333336,523.35294117647061,470.03743315508024,3270,6.1199285667688452e-06,3.0787447024628019e-06,1.5707963267948966,1.0686734929339188
1,3271,595.7037037037037,468.66666666666669,595.63636363636363,468.06293706293707,3271,2.88107406374041e-06,2.540676908999339e-07,1.5707963267948966,0.23255694180490932
1,3272,883.44927536231887,467.56521739130437,883.42553191489367,466.58510638297872,3272,1.1200771389648002e-05,1.7119502211421226e-06,1.5707963267948966,2.9920225624993115
1,3273,38.652173913043477,469.30434782608694,39.560606060606062,468.02272727272725,3273,2.6587689662295761e-06,4.3724615747590346e-07,1.5707963267948966,2.3825042074452667
1,3274,91.875,465.5,89.887323943661968,466.45070422535213,3274,1.7193264104950595e-06,4.8384669557542104e-07,1.5707963267948966,-0.62879628641543295
1,3275,140.0,465.66666666666669,140.54901960784315,467.33333333333331,3275,8.9758952312609726e-07,2.0687118633777253e-07,1.5707963267948966,-1.9588147146129939
1,3276,160.4375,467.125,159.63492063492063,467.92063492063494,3276,1.9376535737325274e-06,3.2012432320671029e-07,1.5707963267948966,-0.75092906239794033
1,3277,183.25,466.5,187.08045977011494,465.57471264367814,3277,7.0156422497212204e-07,3.6593069684133896e-07,1.5707963267948966,2.8430937220036139
1,3278,210.66666666666666,466.22222222222223,211.64634146341464,468.0609756097561,3278,1.6747706955889377e-06,4.379449644762597e-07,1.5707963267948966,-1.7775265046592523
1,3279,232.0,466.11111111111109,231.94366197183098,466.57746478873241,3279,1.934242211806942e-06,2.3992394091267889e-07,1.5707963267948966,-1.8955364089072655
1,3280,416.83333333333331,466.83333333333331,418.35000000000002,466.17500000000001,3280,1.144426641985774e-06,3.7348564519920994e-07,1.5707963267948966,-2.8430937220036139
1,3281,583.59523809523807,470.5,585.04729729729729,471.37162162162161,3281,4.3302629696759015e-06,9.2452072914313271e-07,1.5707963267948966,2.9852905068415807
1,3282,634.08510638297878,467.02836879432624,632.58823529411768,467.91911764705884,3282,1.5820015345097464e-05,5.3803478936881981e-06,1.5707963267948966,-0.51751961856415218
1,3283,693.56989247311833,464.93548387096774,694.20588235294122,467.46078431372547,3283,1.3912637608454507e-05,6.8484442534839165e-06,1.5707963267948966,-1.7906228475852348
1,3284,699.80952380952385,463.92857142857144,701.48214285714289,466.91071428571428,3284,1.144426641985774e-05,6.5807238997097509e-06,1.5707963267948966,-1.9512583580092888
1,3285,736.42384105960264,476.9503311258278,734.43081761006295,475.48113207547169,3285,1.4395303672777032e-05,1.2092853703302673e-06,1.5707963267948966,0.79953149789071587
1,3286,260.19999999999999,469.60000000000002,260.94999999999999,468.80000000000001,3286,9.5368886832147837e-07,2.0611459724257455e-07,1.5707963267948966,1.6627349856771134
1,3287,nan,nan,273.39999999999998,465.86666666666667,3287,0.0,0.0,0.0,0.0
1,3288,383.75,468.5,383.39473684210526,468.81578947368422,3288,8.0310641542861335e-07,2.8682900292505462e-08,1.5707963267948966,-1.5541312030809236
1,3289,453.69230769230768,468.76923076923077,453.82278481012656,468.75949367088606,3289,2.5109782862135128e-06,1.3751150549604502e-07,1.5707963267948966,0.95054684081207441
